#Wavenumber (cm^-1);  Spectrum at 300.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
433.65; 1.0633233; 174.95770926047
435.69; 1.0680339; 177.1321341307
437.72; 1.0743909; 179.31950131984
439.76; 1.0820233; 181.52240734812
441.79; 1.0902619; 183.74208643196
443.83; 1.0982808; 185.97809140112
445.87; 1.1053088; 188.22840479005
447.90; 1.110841; 190.48998126824
449.94; 1.1147751; 192.75956713673
451.97; 1.1174183; 195.03453442415
454.01; 1.1193587; 197.31345210392
456.04; 1.1212428; 199.59620563776
458.08; 1.1235408; 201.88363765905
460.12; 1.126383; 204.17685628759
462.15; 1.1295273; 206.4764764067
464.19; 1.1324649; 208.78207730822
466.22; 1.1346227; 211.09207123845
468.26; 1.1355817; 213.40401765434
470.30; 1.1352315; 215.7152509651
472.33; 1.133805; 218.02358013844
474.37; 1.13179; 220.32780684596
476.40; 1.1297569; 222.62789437642
478.44; 1.1281758; 224.92476295183
480.48; 1.1272898; 227.21982762372
482.51; 1.1270856; 229.51447659407
484.55; 1.1273591; 231.80968241297
486.58; 1.1278345; 234.10585613488
488.62; 1.1282802; 236.40293715479
490.66; 1.1285724; 238.70061309227
492.69; 1.128689; 240.99852642162
494.73; 1.1286493; 243.29635902203
496.76; 1.1284422; 245.59377000815
498.80; 1.1279857; 247.89025159303
500.83; 1.127143; 250.18501737376
502.87; 1.1257873; 252.47702323162
504.91; 1.1238825; 254.76515098654
506.94; 1.1215328; 257.04849499341
508.98; 1.1189735; 259.3266285007
511.01; 1.116499; 261.59972415834
513.05; 1.1143608; 263.86846655472
515.09; 1.1126845; 266.13379618175
517.12; 1.1114513; 268.39661516313
519.16; 1.1105596; 270.65761871425
521.19; 1.1099448; 272.91737050673
523.23; 1.1097027; 275.17662949134
525.27; 1.1101539; 277.43680706169
527.30; 1.1118049; 279.70034580138
529.34; 1.1152061; 281.97080920899
531.37; 1.1207526; 284.2525647073
533.41; 1.1285017; 286.55009683644
535.45; 1.1380857; 288.867141112
537.48; 1.1487591; 291.20591558088
539.52; 1.159573; 293.56670617521
541.55; 1.169613; 295.94793738922
543.59; 1.1782141; 298.3466796794
545.62; 1.1850712; 300.75938233935
547.66; 1.1902078; 303.18254278316
549.70; 1.1938229; 305.61306309074
551.73; 1.1960837; 308.04818636264
553.77; 1.1969584; 310.48509038582
555.80; 1.1961594; 312.92036774995
557.84; 1.1932282; 315.34967739975
559.88; 1.1877286; 317.76779031943
561.91; 1.1794743; 320.16909820185
563.95; 1.1687008; 322.5484720851
565.98; 1.1561144; 324.90222120993
568.02; 1.1427998; 327.22886295809
570.06; 1.1300185; 329.52948313099
572.09; 1.1189695; 331.80760841158
574.13; 1.1105873; 334.06866839391
576.16; 1.1054315; 336.31923161067
578.20; 1.1036771; 338.56622285462
580.24; 1.1051786; 340.81627120455
582.27; 1.109559; 343.07523749945
584.31; 1.1162762; 345.3478794569
586.34; 1.1246525; 347.63757484205
588.38; 1.1338773; 349.94605122822
590.41; 1.1430213; 352.27314388338
592.45; 1.1510966; 354.61667719539
594.49; 1.1571794; 356.97259467726
596.52; 1.1605742; 359.33542361644
598.56; 1.1609715; 361.69906139254
600.59; 1.1585405; 364.05774977002
602.63; 1.1539108; 366.40701263432
604.67; 1.1480355; 368.74431374287
606.70; 1.1419661; 371.06925806975
608.74; 1.1366074; 373.38329261034
610.77; 1.1325237; 375.68901307299
612.81; 1.1298536; 377.98929739547
614.85; 1.1283524; 380.28652548579
616.88; 1.1275385; 382.5820964691
618.92; 1.1268873; 384.87634172575
620.95; 1.1260085; 387.16879795368
622.99; 1.1247526; 389.45869723494
625.03; 1.1232239; 391.74548422615
627.06; 1.1217116; 394.02919228882
629.10; 1.1205735; 396.31058312398
631.13; 1.1201171; 398.59104485829
633.17; 1.1205152; 400.87231704032
635.21; 1.1217707; 403.15614545581
637.24; 1.1237296; 405.44396191252
639.28; 1.1261215; 407.73664816804
641.31; 1.1286103; 410.03440136449
643.35; 1.1308382; 412.33669038804
645.38; 1.1324629; 414.6422870261
647.42; 1.1331917; 416.94936760464
649.46; 1.132822; 419.25569543346
651.49; 1.131286; 421.55889619281
653.53; 1.1286936; 423.85681905199
655.56; 1.1253526; 426.14793972738
657.60; 1.1217486; 428.43172303793
659.64; 1.1184751; 430.70884188089
661.67; 1.1161185; 432.98116285765
663.71; 1.1151244; 435.25145986465
665.74; 1.115683; 437.52289419088
667.78; 1.1176724; 439.79837872298
669.82; 1.1206847; 442.07999598989
671.85; 1.1241373; 444.36864244477
673.89; 1.1274422; 446.66401741961
675.92; 1.1301852; 448.96497684861
677.96; 1.1322588; 451.27015795892
680.00; 1.1339037; 453.57868805362
682.03; 1.1356385; 455.89075005462
684.07; 1.1380913; 458.20780580132
686.10; 1.1417792; 460.53236976591
688.14; 1.146898; 462.86735502609
690.17; 1.1531859; 465.21514190724
692.21; 1.1599055; 467.57660934409
694.25; 1.165955; 469.95039314794
696.28; 1.1700859; 472.33258701209
698.32; 1.1711735; 474.71699517897
700.35; 1.1684752; 477.09590993799
702.39; 1.1618118; 479.46125859159
704.43; 1.1516287; 481.80587533373
706.46; 1.1389228; 484.12462381107
708.50; 1.125051; 486.41513050999
710.53; 1.1114649; 488.67797714344
712.57; 1.0994294; 490.91632056814
714.61; 1.0897879; 493.13503460142
716.64; 1.0828248; 495.33957246021
718.68; 1.0782562; 497.5348089693
720.71; 1.0753477; 499.724124073
722.75; 1.0731333; 501.90893079412
724.79; 1.0706796; 504.08874209078
726.82; 1.0673308; 506.26173545922
728.86; 1.0628687; 508.42564440237
730.89; 1.0575461; 510.57871706611
732.93; 1.0519822; 512.72046206076
734.96; 1.0469493; 514.85196041522
737.00; 1.0431131; 516.97564866092
739.04; 1.0408047; 519.09463721895
741.07; 1.0398948; 521.21177325461
743.11; 1.0398125; 523.32874171066
745.14; 1.0397057; 525.44549275913
747.18; 1.0386953; 527.5601867825
749.22; 1.0361446; 529.66968778365
751.25; 1.0318589; 531.77046336152
753.29; 1.0261519; 533.85962012379
755.32; 1.0197584; 535.93576015885
757.36; 1.0136191; 537.99940115293
759.40; 1.0086083; 540.05284069569
761.43; 1.005287; 542.09951822995
763.47; 1.0037561; 544.14307907348
765.50; 1.0036509; 546.18642577825
767.54; 1.0042683; 548.2310294553
769.58; 1.0047807; 550.27667618367
771.61; 1.0044637; 552.32167758816
773.65; 1.0028682; 554.36343062051
775.68; 0.99988802; 556.39911634518
777.72; 0.99571622; 558.42630863868
779.75; 0.99071615; 560.4433212242
